listing_id,buyer_reviews,summary
1622017136,"Smells and looks amazing , like always! I always love receiving putty from Cat! ❤️ | Best putty ever!! Always buy my putty from Cat, she&#39;s a fantastic seller, and the putty smells beautiful, looks beautiful and works amazing, I got 3 this time 😍❤️ | These smell beautiful and such amazing putty, thank-you. | It smells amazing, and it is really easy to use.\n\nDispatched quickly and arrived carefully packaged.\n\nThank you so much for sending them out to me!! &lt;3 | Quality putty. I now prefer to use this over the wax that you can get. | Looks and smells amazing, as expected and like usual from Cat! ❤️ | Product is beautiful made and smell lovely 1st using putty it does take a bit to get used to\n\nBut once you get that hang of it, last for a server hours \n\nVery happy 😊 | The smells are so lovely\nExcellent product \nLovely Seller ☺️ | Great quality putty! Arrived quickly. | great product ,prompt delivery ,will buy many many many more, | It&#39;s nice to have such a good scent for the name. It&#39;s one of the reasons I can&#39;t forget my cat and look for it again | I love the scent that goes well with the name | I love Cat&#39;s putty! It smells wonderful and is one of my favorite putties to use. | This scent is devine, amazing as always! | Great selection of putty . Smells amazing and works well | Beautiful and sweet smelling scent, great putty! | Item arrived on time and matches the description of the listing. Smells absolutely incredible and will definitely be buying more! | Love it smells lovely really nice | Sweet delicious.Absolutly Great and very cute colored | quality of the putty is always perfect and it works great 👌fantastic smell | Fantastic product, smells great, good delivery. Thank you | Amazing works great for diamond painting | Love all of your puddies | Scent beautiful, great for diamonds and  abs as well.  Again reliable and fast service. | Love putty I’ll be buying again | Super fast shipping, Thank You Cat. I love all the putties 💖 | I have had this one 3 times I love is so much | Smells amazing. Can’t wait to use it | Excellent putty as always, Cat | It smells amazing, easy to use and I can&#39;t wait to sit down and have fun with my diamond painting.\n\nDispatched quickly and came carefully packaged.\n\nThank you so much for sending this out to me!! &lt;3 | Thanks for dealing with it so quickly.\n\nThe product is very cute and I like it^ ^ | Looking forward to working with it | THE BEST putty I have found. This stuff smells wonderful, but better than that, it works great! Ordered before I went to bed and received a notification when I woke up that Cat had already shipped my order. That’s awesome customer service and an awesome product! I’m never going anywhere else for my putty. Thanks Cat! | It is really good putty","The putty smells amazing, is great quality, and works well."
1259566998,"Love!! Such great quality & cute! | Perfect every time! Great personalized gift | This card is so well made, high quality and super fast shipment.  I would highly recommend! | Adorable!!",The items are high quality and cute.
1618498857,"Super cute excellent service great quaility | Well made and fit perfectly | Great quality, looks just like the picture | Wore this shirt around Niagara and it held up really well! Light weight, soft, and comfortable!",Great quality items are well-made.
739802768,"Best collars you can get! | Great quality collars as well sizing for larger dogs. The only collars my dog wears now! | Beautiful collar! Very well made, so glad I ordered it. | Absolutely beautiful!!!!!! Can’t wait to order more.",The collars are high quality and beautiful.
1262500633,super cute can&#39;t wait to use! | Extremely light (faded)  I asked the story to send me a better copy and never got a response | I love It! They are really cute ❤️ | Super super cute | Super cute I can’t wait to make stickers for myself and my friends! | These were great additions to my NCT dream jingle ball shirts,The items are described as super cute.
270344578,"Fast PDF document delivery after payment. | What a wonderful pattern.  I like the size of the blocks.  Pattern is very well written.  I am looking forward to making the quilt. | Easy download, clear descriptions and instructions | Great for QOV - love pdf download",Easy download and clear instructions are appreciated.
1069190844,"Beth went the extra mile.Great service many thanks. | Beautiful kimono quilting wall hanging pattern. Good detailed instructions with photos and options to make cushion or quilts . Sent with nice hand written note .Thank you | in love with this pattern I can&#39;t wait to get started | Beautiful package- excellent value. I even had it hand-delivered! | Lovely pattern, arrived\n quickly. Can&#39;t wait to get on with it",The patterns are lovely and arrive quickly.
993715680,"Love them! I can never find powerpuff girl stickers I like, and these were perfect! | The holographic hearts are everything! | Love these, they look amazing! | the sticker is super cute and very good quality!",The stickers are cute and good quality.
1215008681,Wow got my order super fast!!!! Will definitely continue doing business with this shop. Thank you we loved it!!!! | The item was sturdy and easy to set up. | Sign were of great quality. | THE QUALITY WAS GREAT! THE SIZE AND COLORS WERE BEYOND MY EXPECTATIONS!! THANK YOU,The items were sturdy and of great quality.
700451556,"So pretty in person. I love it. Thank you for the fast shipping. | Beautiful! Just as expected and delivered just in time. | very fast shipping, item was exactly what I expected | Same as picture came within 3weeks",Items are as expected and shipping is fast.
1167901688,OMG! This pattern is Amazing! \nIf you are new to crocheting this is a great project! | Can’t wait to make this | Love the pattern. Very well explained. Easy to follow. | Pattern was easy to understand with lots of photos showing what to do. | Amazing pattern and very easy to follow. I have many pattern from here and they are all amazing | Very cute easy to follow pattern a must have ! | This worked up great. Perfect for an Easter adult gift! | Love it and quick and easy to make | I’ve gotten addicted to these fun and easy modification recipes. I highly recommend because it’s easy to follow and turns out really nicely | Easy patteren. Love it | Recive the pattern quickly and can&#39;t wait to try it out | Such a cute pattern and easy to follow!,The pattern is easy to follow and understand.
902534670,"It is beautiful!!! Exactly what I wanted for my sister.  And Pavlo got it to me as quickly as he could !! | Very beautiful and dainty ring! | Very nice store owner, I purchased two rings and they were perfect! | This ring is so beautiful. It’s great if you’re a fan of dainty jewelry. I bought two to surround my engagement ring and it’s absolutely perfect! | GORGEOUS \ndainty sparkling ring!...Seller very personable and kind!\nI will be shopping here again!!!👌❤ | It is beautiful!!! Exactly what I wanted. | Beautiful ring. She even sourced our green sapphires for me upon request. Excellent quality and customer service.",The rings are described as beautiful and dainty.
1366600352,"This is beautiful! Perfect for my garden! | Just what we were hoping for on the gate to the naturalistic garden of our new home!  The hanging wire seems to be leaving rust stains on our white fence, which we don&#39;t really care about but maybe others would. | Artist took care to make sure she understood what I was looking for | great quality and beautifuly crafted",The product is beautiful and of great quality.
1478103108,Excellent quality and so cute! | Very pretty and good quality | Item is just as described! | This seller is so great. The purchase comes with several files for different size of prints. Transaction is immediate. Quality is great!,The item is noted for its good quality.
1061122423,"Very good herbs, international shipping | Thank you and have a wonderful day | Thank you for fresh herbs👍 | Exactly what I needed; thank you!",Buyers appreciate the fresh herbs and express gratitude.
868210618,The glass is beautiful. I am very happy with my purchase. | Very nice! Came very quickly | Cutest thing ever! Will get more. | These glasses are beautiful and make perfect gifts!,The glasses are beautiful and make perfect gifts.
1407050781,"Absolutely spot-on ♥️ | so pretty! and great color palette! | Great product, lots of information and easy to follow! | Beautiful | Love the embroidered designs, clear instructions and videos.",The product is beautiful and easy to follow.
1465025482,Great item very well made | Love it! Exactly what I was looking for | great gift for my cousin | I really liked it! So nice! | Wonderful shirt!  It&#39;s soft and the best shade of purple!  The logo is amazing!  I&#39;m so pleased with my purchase!,The item is well-made and soft.
1065382436,"Seller was great to work with! Fast shipping and I love my jewelry! | My new necklace gets so many compliments! It really makes Fall more sparkly! It&#39;s very unique looking. | The owner of the shop reached out to let me know the earrings I picked out would not match the necklace and offered to send the earrings that would match!  Best customer service - very kind.  Thank you | The necklace is simply gorgeous.  Timeless, classic. | I have received so many compliments!",Buyers love the jewelry and have received many compliments.
1682272523,"Seller delivered too late even though paid premium delivery option. | Lovely gift exactly as described. Alice was quick to change my order once I had submitted too, thank you for this lovely gift!x | Really lovely gift something a bit different, great quality.\nWould highly recommend, quick delivery too | Perfect gift for the dentist I work with, he’s going to absolutely love it thank you so much! & bonus came with a little biscuit as well☺️","Lovely gift, great quality, and quick delivery."
1107203577,Amazing customer service. Would buy again! | Perfect size for what I needed! I love it! | Beautiful same as the picture exactly as I expected it to be | Wonderful item! Just want I wanted,Item is the perfect size and exactly as expected.
1220221071,"Great variety of Sesame Street prints.  The colors are bright and cheerful | I can&#39;t wait to use this! | Exactly what I expected to receive.  Thanks! | The quality of the fabric was above my expectations, my order arrived promptly, and the seller responded quickly to a question I had before placing my order.  Highly recommend this seller! | fabric arrived quickly, no problems. | Super fast shipping & excellent quality!",The fabric arrived quickly and is of excellent quality.
1181119327,"Thank you for this Montana postcard | Very good customer service and quality! | Love, love , love these postcards. Good quality and perfect for Postcrossing.\nVery quick shipping. | Great postcards. I love the fun facts. Thanks.",The postcards are good quality and have fun facts.
1105406723,"THANK YOU! Fast shipping and beautiful items!^^ | Fabric was much lighter in color then I was expecting but good quality satin. | Fabric is as described. Had a slight hitch with shipping because logistics somehow didn&#39;t recognise my ZIP code even though I&#39;ve had other items shipped to it without issue, and so paying fkr expedited shipping was a waste. But seller was very communicative and understanding with the address changes. | fabric is a nice weight and pretty | Beautiful satin fabric with a nice weight to it | Took a little while to get here, but I&#39;m happy with the product! Will definitely be ordering more",The fabric is good quality and a nice weight.
1060229389,"Great fabric, wonderfully folded and packaged.   Ima start a new kitty cat comfort quilt.  Even though this text kitty related, it still goes, right? | Great fabric and fast shipping, thanks! | This fabric is SO cute! Great quality & shipped quickly. | Great addition to our Halloween fabrics.  We make several Halloween quilts each year.  Thank you so much. | Very nice fabric \nThank you",The fabric is of great quality and ships quickly.
1461516490,"Beautiful collage pages. Thank you! | . absolutely beautiful\n. lots of detail\n. exceeded expectations | Absolutelly beautiful, I am already using them. | Another gorgeous set of digitals. Thank you.",The collage pages are described as beautiful and detailed.
1566220022,"Im enjoy my shirt ! Thanks | My son loved it, perfect for his new school shoes. | Love the shirt will be ordering soon with you and keep up the amazing job that you’re doing for customers | The Small Looks for like Large than Small",Buyers enjoy the shirt and plan to order again.
946459594,"Stickers as described!! | super fast shipping. thank you | My son loved this sticker! Will be ordering more! 👍 | Sticker is so fire on my hydro flask | cute! fast shipping. Real sticker quality | Such an awesome sticker!! Fantastic quality and fast shipping!! Colors are perfect too! My daughter is going to love it!! | Had an issue with shipping, but was resolved quickly. Good quality stickers. Would recommend buying from again.",Stickers are good quality and shipping is fast.
1440267521,"my customer loved it... thank you | Easy to download and always great prices | Exactly as expected- nice quality! | All good, all went well","Easy download, great prices, and nice quality."
496750548,"These are tinier than I normally prefer, but they will be perfect in my hourly ECLP to help keep me on schedule! | Good variety of Crochet stickers - and it&#39;s easy to find KNIT, but hard to find CROCHET! | While the stickers are cute & of great quality, I had to wait more than a month to receive them!  A month from the date I ordered, I messaged the seller asking when they might be shipped.  I got a response about 2 days later w/an explanation as to why it was taking so long (as you can probably guess, it has to do w/COVID-19), & they would ship the following Monday.  All that said, I am happy with the stickers! | It&#39;s not a sticker photo, but a blanket I just finished. But thank you so much for making stickers for crocheters. It seems as if anything associated with yarn is for knitters. So thank you. | Good evening. The Crocheting stickers are beautiful, and so are the freebies that you enclosed with my order. Your prompt and professional service is greatly appreciated. Thank you, and God bless you. | Great quality & I love being able to get crochet stickers! | So cute! Love them! | The crochet stickers are super cute.",The crochet stickers are cute and of great quality.
927653079,"Awesomely preserved vintage view master reel set arrived quickly & safely !! The reels are in superb condition, & I love the fashions of the tourists in the photos. | great reels, I&#39;ll be back again and again | Love these reels -  thanks for shipping so quickly! | I did a bit of early Christmas shopping, can&#39;t wait to gift these! | View Master packets in great conition; excellent service",The reels are in great condition and shipped quickly.
936597578,"Love tha brilliant colors! | Beautiful and awesome yarn! love it. | Fantastic and soft yarn! The colors are beautifully vibrant and I can&#39;t wait to knit with this. | These colors are absolutely beyond gorgeous!  Can hardly wait to play with them.  And, your service was excellent too! | Excellent yarn, vibrant colors, fast shipping.\n\nFantastic shop owner (Erica) who truly cares. I made a request for just white or just black to go with my spectrum of colors mentioning my plans. Erica informed me of the potential downsides and even offered to cancel the order I had just placed. I will love this shop forever! You are awesome, Erica! | It made my girlfriend happy, and that’s enough for me. | Beautiful yarn! Definitely matches photo. Can&#39;t wait to use it.",The yarn is described as beautiful with vibrant colors.
1870255521,"Great item and was sent in good time. | Bought the velvet box as part of a eternity ring surprise for my wife on holiday. \n\nIt was perfect in terms of quality and colour for what I wanted. \n\nI would recommend without reservation. | Postage was delayed but this was not the fault of the seller. When I reached out she checked when delivery would be and it arrived as she had confirmed. Would recommend as box is lovely and was perfect for my husbands ring. | Looks great, my girlfriend likes it",The boxes are of good quality and look great.
172401611,"Bought as a Christmas present for my girlfriend and she couldn&#39;t have been happier with it!! She wears it all the time and admits it was the best present I got her this year!! It was delivered with prefect timing just before Christmas too. Very happy customer! | Great communication, fast delivery and an excellent product. Would highly recommend. | I LOVE IT! Superb quality, as always! If anyone is thinking of ordering one do it! x | Even prettier in person - just the right size!","Great quality, fast delivery, and excellent product."
655090844,"LOVE IT, ALL!!! | Thank you very much for the fast delivery, for the excellent kimono of quality linen and your talent.\nI always admire how lovingly you pack your products.\nI&#39;m glad I ordered a kimono from you. | See thru! Cool dress but totally see thru. It also kind of makes you me look like a blob, but if my hands are in the pockets it&#39;s alright. I want to be covered but wear less in summer. If I lift my arms up, my panties show. Definitely need to wear some leggings or shorts underneath! | See thru! Cool dress but totally see thru. It also kind of makes you me look like a blob, but if my hands are in the pockets it&#39;s alright. I want to be covered but wear less in summer. If I lift my arms up, my panties show. Definitely need to wear some leggings or shorts underneath!\n\nUpdate: The seller informed me &quot;It is deffinitely not a dress but tunic and that is my is a Kwai’s good to have something under\nThe style is made to cover and be a a hard not to be used as a dress&quot; That makes more sense now. I&#39;ve upped my star count to match that. | I did not realize the garment didn&#39;t have proper hem by design. All the threads are hanging and I really don&#39;t like the way it looks, it looks untidy. Such a shame because the quality of the linen is great. I would need to take it to a place to fix it. I don&#39;t recommend buying this one. | Lovely, comfortable, elegant. Aakasha never dissapointed",The garment is see-through and the quality of the linen is great.
1262815688,Great all around product and craftsmanship. | Good quality products and fast shipping. | Great great great great great | Item as described and fast shipping.,Good quality products are shipped fast and have great craftsmanship.
900196307,Perfect for my survivor day. | My mom is a cancer survivor.  Thank you | This is a great design for any survivor! | Thank you from a fellow cancer survivor!,"The design is great for survivors, including cancer survivors."
1121938981,"Great customer service and really great performance. Thank you! | it looks nice but the paint hadn&#39;t dried all the way because it&#39;s a bit un-smooth in some areas, mainly the white part. I can see the lines from the plastic in there but overall looks good and like the picture and great colors | The Best Service & Product! | Exceeded expectation and will be repurchasing from this stop in the future.",Great customer service was provided and the product exceeded expectations.
234753389,"good quality very happy with the design | I only did ring bearer and flower girl, both turn out very cute. | I made this for a wedding for a dog collar.  Turned out so cute. Thank you | We did these for a bride, using the ring bearer and flower girl.  They came out so very cute. | Stitched out beautifully!",The design is good quality and turns out very cute.
1622954986,"I ordered a barong for my son about two weeks in advanced for his holiday performance at school, but unfortunately I didn’t receive it on time. Good thing I got a bigger size so that he could wear it in the future. Other than that, the quality and look of the barong is absolutely beautiful. | This is my son&#39;s first barong. I was impressed with the workmanship. | Very beautiful! Can’t wait for my son to wear it & match with the family. | Item as described and customer service is fantastic (they reply very quickly and handled the situation)",The barong is beautiful and the workmanship is impressive.
1805007702,"This is amazing! It has no smell, no fear of perfumes hurting. You get alot.  Ships fast. And thank you for the sample!!\nTried for the first time and heres an update....its like melted butter. Its solid in the container, but  slide your finger through and it&#39;s perfect. A little REALLY goes far.  Fyi not just for babies, adult with a friction burn in a not nice area....I&#39;m already feeling relief.  I can see multiple uses. | This diaper rash balm is amazing! My baby has very sensitive skin and has been having rashes for a while. We tried a lot of products, but this one has been working consistently for several days now. It has even helped with my baby’s eczema on her tummy! | It came wrapped so cute and fun. It works amazing! | This product is a life saver for diaper rash",The product works amazing and is effective for diaper rash.
763684659,"Very fast shipping! The colors are vibrant! | Exactly as pictured absolutely love it thank you! | Bought this as a gift for my friend missing HI. She loved it so much. Thank you for making her so happy! | I love the color and it’s well made, I would just like the string a little longer so I can hang it on the rearview mirror of my car... | Very nice quality, fast shipping.",Fast shipping and nice quality were mentioned in the reviews.
1591362027,"We loved it and it printed just as is | Excellent file. Had a little confusion about which file I needed to use for my project and the seller responded quickly and helped. Great customer service. | Great quality! Turned out great | Great SVG, easy to use",Great quality and easy to use SVG files were provided.
1417948464,"Just what I wanted, color and fit. | Cite sweater! Exactly what I wanted | Great product just what I ordered! | So cute! Yaya loves it!",The product is cute and exactly what the buyers wanted.
460364762,"I so Love the attention to detail! I can hardly wait to share these with friends and family. | Great Seller, Lovely Item, Thanks Many Blessings | Just What I was looking for. Can&#39;t Wait to Start on it. | Looks like a fun project and I appreciate the  great customer service.",Buyers appreciate the attention to detail and great customer service.
896744180,"The glitter is so pretty in person! I love how pretty it is. | Took a while but the tumbler is stunning! I expected the wait due to the fact items are made to order! My only comment, it didn&#39;t come in the font I was expecting. Beautiful tumbler though!! | I got this in the 30 oz and I love it!! It fits my cup holders in both the car and my couch. A must for me since I literally take my water cups everywhere! It fits my sassy side and honestly can’t wait for my boss to see it since she hates when I drop the f-bomb! I was not expecting the hot pink penis that came with it but love it! I got such a kick out of it I had to send pictures of my cup with it to all my friends. Turn around time was great, only took a couple weeks to get it when most take over a month. Will definitely be buying from him again. Check him out on tiktok, very talented! | I can&#39;t wait until the sellers store reopens, I absolutely love my cup and will definitely be placing more orders!",The tumblers are stunning and the glitter is pretty.
706333364,Such a sweet little pouch -- great job and great service! | Great product and great service | Great product and great service | Love it perfect for grandson,Great product and great service is mentioned in multiple reviews.
1810602322,"Love, love, love- great seller | It may just be me, but I’m really struggling to download this | Awesome. I love it so much | Very quick response and simple download of purchased products.",Simple download of purchased products is mentioned in multiple reviews.
170669397,"beautiful pattern, can&#39;t wait to make | Easy to understand, beautiful clear pictures great pattern. | Beautiful and easy to follow 🌹 | My error ordered twice by mistake | Easy to follow, love the tutorial, keep up the good work. Thank you for the great transaction! | Beautiful bracelet.  The tutorial is perfect with all details clearly covered. I am in love with this bracelet even though I am in the beginning stages of creating it.   I am sure I will be making many of these.   | Haven&#39;t made this one yet but I&#39;m sure the instructions will bring me to a great finish. | Lovely pattern and very well written tutorial.",The pattern is described as beautiful and easy to follow.
1332991194,Followed instructions but it was a difficult transfer | Love how this turned out! One of my favorite shirts for Christmas! | Great product. Love the quality. | Item was exactly as described and was so easy to press!,The product is of great quality and easy to use.
1451195591,"Love these! So many compliments today at Polynesian Resort! | These are such cute earrings. | The earrings are adorable. I haven’t worn them yet but seem like a good quality. They do have a bit of an odor, presumably from the creation process. But, I think this will dissipate over time as they are out of the packaging and exposed to the air. | I bought several for my upcoming Disney cruise and loved every single one! Great quality and price! | Beautiful and great quality earrings! | I love my earrings!  The quality, color and quick delivery is the best | Fun, lightweight, look nice, good quality | Love these earrings! Fast shipping | These are nice and light and so pretty. | Cute!  Wore these to EPCOT during the Flower & Garden Festival and several cast members commented on them","The earrings are cute, good quality, and lightweight."
1368017338,"Repeating my reviews from the Keramon and Goblimon, fantastic little guys perfect for use as memory markers or for personal display. Much like the Goblimon, I don&#39;t see Chuumon getting any merch so I love being able to own something physical for him. | This is my second memory marker! They are amazing quality and the seller has fantastic customer service! | Very happy to get this, great gift! | It looks amazing and I couldn&#39;t be happier. | He looks great! I love this store so much, the counters make great gifts for my digimon living friends.",The memory markers are amazing quality and make great gifts.
505303930,"stitched out well. would buy more designs in the future. | Perfect for my needs. Stitches out amazing! | Stitched this on a soccer bag and the detail is beautiful! Thank you! | Stitched out nicely, my second purchase from this shop! | Just stitched this out.  Beautiful stitch!  Very pleased!! | Great product and  stitches well | It stitched out perfect thank you",The designs stitch out well and are of great quality.
1319544898,Exactly what I needed! | They were great. matched description | Perfect and looked great on the cupcakes | Super cute cupcake pickers. My 8 year old totally loved them… | Super cute cupcake toppers! My son loved them.,The cupcake toppers were super cute and matched the description.
995604192,"Amazing, these bulbs have already broken through this hard red dirt at my house and are making a lovely show of themselves in vibrant colors! very happy with this seller and product! I can&#39;t wait to see how big they get in the spring if this is what they do in a month&#39;s time! I am so excited! I just bought more! | Awesome place to shop for the things I need | I think they&#39;re very pretty | The bulbs look great! Came in a timely fashion.",The bulbs arrived in a timely fashion and look great.
1556241662,Love it! Fast delivery and great quality! | Love this Santa Claus. Great quality and nice bright colors. | I am so excited to make a faux cake with this flat Santa. | Love this Santa. Can’t wait to make my cake,Buyers love the Santa Claus figure and its great quality.
810698369,The vibrant colours are just what you see in the picture. I am very pleased with the paintings I ordered and are a wonderful reminder of home. | Love the picture! Skye is a favorite place❤️ | Had problem with Royal  Mail delivery packaged damaged shipper resolved problem prompt great service Peter | Hi. Thank you it’s beautiful. Finally got around to framing and I’m so pleased. Great quality print and colours are amazing.,The prints have vibrant colors and are of great quality.
1418264906,"Everything I wanted! I get compliments every day! | It looks so amazing | Super cute good quality great material | Super cute exactly as pictured | It was the perfect gift | This item allowed for personalization, so I wrote down my job title in the personalization, as well as the abbreviation for it, just like the badge would have shown. I messaged seller after receiving,  because it wasn’t customized (it said administrative assistant) and she pointed out that the personalization was actually only meant to say if you wanted an interchangeable topper or not.. She said returns are not usually done, and that I can return it if I want a refund, minus the shipping costs. The item was ~$20 w/shipping initially, it would cost money to ship back. I can’t use this because my job title isn’t anything related to this, and I wish I was messaged upon seller seeing my personalization. Definitely feel like the listing could’ve been more clear…It is cute though if you’re administrative assistant | Super cute! Looks exactly like the photo. Just started a new job in a hospital & this definitely is a badge reel I would want to wear to add a little color to my scrub attire",Super cute and good quality items look exactly as pictured.
1665962667,Just love. That is all. 💜 | Super fast shipping and gorgeous fabrics! | Super fast shipping and beautiful fabrics! So happy with the purchase! | Beautiful fabric and posted extremely quickly. Always a pleasure to purchase from this store. Thank you.,Buyers consistently praise the fast shipping and the beautiful fabrics.
776884530,"Very good size and im sure my mom will love it! | Very nice quality, highly recommend | Too cool!!! Awesome decal and easy to apply | Great quality",The decals are of great quality and easy to apply.
824848565,"loved it thank you so much | Great item thank you very much | Worth the price of purchasing this cute printout.  Arrived within seconds. Printed off and looks great.  I downloaded pictures from my phone and placed into a Word document, then printed off on sticky back paper.  Worked perfectly for the photo section. | Great product we had great fun with this & grandad loved it.",Great items that buyers loved and had great fun with.
704277128,"everything is good! Thanks a lot:) | looks great!! fabric quality is really nice, can&#39;t wait to sew it on my pants :) | Wonderful!  Thank you so much. | Glad the owner contacted me immediately | Great item, thanks very much | I Never got my patch....",The fabric quality is nice and the item is great.
1346915370,Nice cotton weight.  Color is as shown in listing. Would buy from this seller again.  Fast shipping. | Fasy shipping and great fabric | Super fast shipping in waterproof mail pouch. Nice quality and carefully folded | Love it. Can&#39;t wait to use it | Quick shipping. Great fabric selection. | Quality fabric,Buyers consistently praise the fast shipping and quality of the fabric.
1020847677,"Delicate design and beautifully made. | Great, exactly what I was looking for! | This item was exactly as described. Although I haven’t used it yet it seems to be a very high quality. | Lovely charm, just what I needed.  Very promptly dispatched. | Love these snakes! I’ve ordered 2 for earrings and they’re so lovely and dainty | Exactly what I wanted. Meets the seller description perfectly. | Lovely delicate snake charm! Very happy with purchase :)\nAlso very quick delivery. \nThank you!","The items are lovely, delicate, and exactly as described."
1032968446,"These bracelets are beautiful. The beads are much smaller than I expected, but it seems well made. I bought 3 and can’t wait to share them with my sister and niece! | Their beautiful! 🖤💜🖤💜 | Wonderful quality and service! Do not hesitate to order | I bought 4 bracelets and they are awesome! You can tell that they are made with high-quality materials. The beads are durable and look amazing when you have them on your wrist, especially the tiger eye. I don&#39;t usually wear bracelets, but I haven&#39;t taken these off since I got them in the mail. They fit perfectly, it&#39;s as if they were custom-made just for me. They also provide super fast shipping, and the items are presented nicely in a box with a cute handwritten thank you note. I highly recommend this store. 5-stars! 10/10! Sarang haeyo Purple Seoul!",The bracelets are beautiful and made with high-quality materials.
1689459912,Perfect for looking artsy while loving Suga! | Well designed. Have to find a frame of your own. Thank You for the multiple formats. | Love this! It’s perfect for my scrapbook project of his concert. Thank you! | It was perfect and just what I needed,The item is well-designed and perfect for various projects.
